dataset,battery_name,window_start,mse,mae,rmse,mse_raw,mae_raw,rmse_raw
test_CALCE,CALCE_CS2_33,0,0.0007007617925669357,0.023006990991846735,0.02647190572223571,0.0007007617925669357,0.023006990991846735,0.02647190572223571
test_CALCE,CALCE_CS2_33,100,0.0045981922860560505,0.06517331868180072,0.06780997187771169,0.0045981922860560505,0.06517331868180072,0.06780997187771169
test_CALCE,CALCE_CS2_33,150,0.04055721573815285,0.20108367792286003,0.2013882214484076,0.04055721573815285,0.20108367792286003,0.2013882214484076
test_CALCE,CALCE_CS2_33,200,0.007279434538918894,0.08392487350348161,0.08531960231341268,0.007279434538918894,0.08392487350348161,0.08531960231341268
test_CALCE,CALCE_CS2_33,250,0.01241646611304913,0.10151009119618053,0.11142919775825871,0.01241646611304913,0.10151009119618053,0.11142919775825871
test_CALCE,CALCE_CS2_33,300,0.006904148189582513,0.06461393862955495,0.08309120404460699,0.006904148189582513,0.06461393862955495,0.08309120404460699
test_CALCE,CALCE_CS2_33,50,0.0011558900723684892,0.027575032037920656,0.033998383378750364,0.0011558900723684892,0.027575032037920656,0.033998383378750364
test_CALCE,CALCE_CS2_34,0,0.009258797626747299,0.09425824891213751,0.09622264612214372,0.009258797626747299,0.09425824891213751,0.09622264612214372
test_CALCE,CALCE_CS2_34,100,0.0023652316040473835,0.044841654208333186,0.04863364683063962,0.0023652316040473835,0.044841654208333186,0.04863364683063962
test_CALCE,CALCE_CS2_34,150,0.003492381872099112,0.05568726620608319,0.05909637782554115,0.003492381872099112,0.05568726620608319,0.05909637782554115
test_CALCE,CALCE_CS2_34,200,0.012872462010196673,0.11163227289768178,0.11345687290859321,0.012872462010196673,0.11163227289768178,0.11345687290859321
test_CALCE,CALCE_CS2_34,50,0.002547452113683834,0.04565594372199455,0.050472290553172185,0.002547452113683834,0.04565594372199455,0.050472290553172185
test_CALCE,CALCE_CS2_35,0,0.0010440692025495881,0.026499965176763195,0.0323120597076322,0.0010440692025495881,0.026499965176763195,0.0323120597076322
test_CALCE,CALCE_CS2_35,100,0.007040840659603046,0.08205528676208497,0.08390971731333056,0.007040840659603046,0.08205528676208497,0.08390971731333056
test_CALCE,CALCE_CS2_35,150,0.00283039459420999,0.049844344903412614,0.05320145293326104,0.00283039459420999,0.049844344903412614,0.05320145293326104
test_CALCE,CALCE_CS2_35,200,0.002776026939402375,0.050664485743609135,0.05268801514009021,0.002776026939402375,0.050664485743609135,0.05268801514009021
test_CALCE,CALCE_CS2_35,250,0.002049683467562884,0.04164553155741106,0.045273430039736155,0.002049683467562884,0.04164553155741106,0.045273430039736155
test_CALCE,CALCE_CS2_35,300,0.011546002584193945,0.10023667650765702,0.10745232703014833,0.011546002584193945,0.10023667650765702,0.10745232703014833
test_CALCE,CALCE_CS2_35,350,0.025147034988188422,0.1563747285037476,0.15857816680800804,0.025147034988188422,0.1563747285037476,0.15857816680800804
